id,text
1,Mixed CASE text should be lowercased
2,"Newlines
and	tabs should be handled properly."
3,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
4,I love NLP. It’s amazing… <a href='link'>Click here</a>
5,Numbers 12345 and 67890 are present in this text
6,Check out this link: https://github.com/user/repo
7,"Remove punctuation, lowercase, and stopwords from THIS sentence."
8,I am loving #MachineLearning and #DataScience 🌟
9,Stemming and lemmatization are key for text normalization 🤖
10,Python is awesome!!! Check out www.python.org 😎 #coding
11,Emoji test: 😂🤣😍🔥✨💯
12,Mixed CASE text should be lowercased
13,Mentions: @user1 @user2 are included in tweets
14,Stemming and lemmatization are key for text normalization 🤖
15,Numbers 12345 and 67890 are present in this text
16,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
17,"Python, Java, and C++ are programming languages."
18,Python is awesome!!! Check out www.python.org 😎 #coding
19,Email me at test@example.com or visit http://mywebsite.com
20,Stemming and lemmatization are key for text normalization 🤖
21,Numbers 12345 and 67890 are present in this text
22,"Remove punctuation, lowercase, and stopwords from THIS sentence."
23,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
24,I am loving #MachineLearning and #DataScience 🌟
25,Mixed CASE text should be lowercased
26,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
27,Stemming and lemmatization are key for text normalization 🤖
28,Mentions: @user1 @user2 are included in tweets
29,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
30,Mixed CASE text should be lowercased
31,I love NLP. It’s amazing… <a href='link'>Click here</a>
32,Mixed CASE text should be lowercased
33,Repeated letters: cooool loooove tweeeeet
34,Python is awesome!!! Check out www.python.org 😎 #coding
35,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
36,Special characters: @$%^&*() should be removed
37,Python is awesome!!! Check out www.python.org 😎 #coding
38,Stemming and lemmatization are key for text normalization 🤖
39,"Newlines
and	tabs should be handled properly."
40,<p>Hello there! Visit https://example.com 😊</p>
41,Check out this link: https://github.com/user/repo
42,Mixed CASE text should be lowercased
43,Special characters: @$%^&*() should be removed
44,"Remove punctuation, lowercase, and stopwords from THIS sentence."
45,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
46,<p>Hello there! Visit https://example.com 😊</p>
47,"Misspellings: recieve, definately, seperate should be fixed"
48,Repeated letters: cooool loooove tweeeeet
49,<p>Hello there! Visit https://example.com 😊</p>
50,Emoji test: 😂🤣😍🔥✨💯
51,"Remove punctuation, lowercase, and stopwords from THIS sentence."
52,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
53,I love NLP. It’s amazing… <a href='link'>Click here</a>
54,Email me at test@example.com or visit http://mywebsite.com
55,I love NLP. It’s amazing… <a href='link'>Click here</a>
56,Email me at test@example.com or visit http://mywebsite.com
57,Email me at test@example.com or visit http://mywebsite.com
58,"Misspellings: recieve, definately, seperate should be fixed"
59,Emoji test: 😂🤣😍🔥✨💯
60,Emoji test: 😂🤣😍🔥✨💯
61,Cleaning text is fun!!! Isn't it? 🤔
62,"Python, Java, and C++ are programming languages."
63,Cleaning text is fun!!! Isn't it? 🤔
64,Email me at test@example.com or visit http://mywebsite.com
65,Emoji test: 😂🤣😍🔥✨💯
66,Cleaning text is fun!!! Isn't it? 🤔
67,"Remove punctuation, lowercase, and stopwords from THIS sentence."
68,I love NLP. It’s amazing… <a href='link'>Click here</a>
69,"Newlines
and	tabs should be handled properly."
70,Repeated letters: cooool loooove tweeeeet
71,Check out this link: https://github.com/user/repo
72,Stemming and lemmatization are key for text normalization 🤖
73,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
74,I am loving #MachineLearning and #DataScience 🌟
75,Cleaning text is fun!!! Isn't it? 🤔
76,Cleaning text is fun!!! Isn't it? 🤔
77,Cleaning text is fun!!! Isn't it? 🤔
78,Email me at test@example.com or visit http://mywebsite.com
79,Mentions: @user1 @user2 are included in tweets
80,"Newlines
and	tabs should be handled properly."
81,I love NLP. It’s amazing… <a href='link'>Click here</a>
82,"Misspellings: recieve, definately, seperate should be fixed"
83,I am loving #MachineLearning and #DataScience 🌟
84,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
85,Python is awesome!!! Check out www.python.org 😎 #coding
86,"Misspellings: recieve, definately, seperate should be fixed"
87,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
88,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
89,"Newlines
and	tabs should be handled properly."
90,I love NLP. It’s amazing… <a href='link'>Click here</a>
91,Repeated letters: cooool loooove tweeeeet
92,<p>Hello there! Visit https://example.com 😊</p>
93,"Misspellings: recieve, definately, seperate should be fixed"
94,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
95,I love NLP. It’s amazing… <a href='link'>Click here</a>
96,"Newlines
and	tabs should be handled properly."
97,Repeated letters: cooool loooove tweeeeet
98,Emoji test: 😂🤣😍🔥✨💯
99,Email me at test@example.com or visit http://mywebsite.com
100,Check out this link: https://github.com/user/repo
101,I am loving #MachineLearning and #DataScience 🌟
102,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
103,Emoji test: 😂🤣😍🔥✨💯
104,I am loving #MachineLearning and #DataScience 🌟
105,"Remove punctuation, lowercase, and stopwords from THIS sentence."
106,Mentions: @user1 @user2 are included in tweets
107,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
108,<p>Hello there! Visit https://example.com 😊</p>
109,Repeated letters: cooool loooove tweeeeet
110,Email me at test@example.com or visit http://mywebsite.com
111,Python is awesome!!! Check out www.python.org 😎 #coding
112,I love NLP. It’s amazing… <a href='link'>Click here</a>
113,I am loving #MachineLearning and #DataScience 🌟
114,Mixed CASE text should be lowercased
115,Special characters: @$%^&*() should be removed
116,Special characters: @$%^&*() should be removed
117,I love NLP. It’s amazing… <a href='link'>Click here</a>
118,Email me at test@example.com or visit http://mywebsite.com
119,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
120,Email me at test@example.com or visit http://mywebsite.com
121,Email me at test@example.com or visit http://mywebsite.com
122,Numbers 12345 and 67890 are present in this text
123,Emoji test: 😂🤣😍🔥✨💯
124,Cleaning text is fun!!! Isn't it? 🤔
125,<p>Hello there! Visit https://example.com 😊</p>
126,"Remove punctuation, lowercase, and stopwords from THIS sentence."
127,"Remove punctuation, lowercase, and stopwords from THIS sentence."
128,I am loving #MachineLearning and #DataScience 🌟
129,Stemming and lemmatization are key for text normalization 🤖
130,Emoji test: 😂🤣😍🔥✨💯
131,Email me at test@example.com or visit http://mywebsite.com
132,Python is awesome!!! Check out www.python.org 😎 #coding
133,Repeated letters: cooool loooove tweeeeet
134,Repeated letters: cooool loooove tweeeeet
135,Repeated letters: cooool loooove tweeeeet
136,Python is awesome!!! Check out www.python.org 😎 #coding
137,<p>Hello there! Visit https://example.com 😊</p>
138,<p>Hello there! Visit https://example.com 😊</p>
139,Repeated letters: cooool loooove tweeeeet
140,Numbers 12345 and 67890 are present in this text
141,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
142,I love NLP. It’s amazing… <a href='link'>Click here</a>
143,Check out this link: https://github.com/user/repo
144,"Newlines
and	tabs should be handled properly."
145,Repeated letters: cooool loooove tweeeeet
146,Python is awesome!!! Check out www.python.org 😎 #coding
147,I am loving #MachineLearning and #DataScience 🌟
148,Mixed CASE text should be lowercased
149,"Python, Java, and C++ are programming languages."
150,<p>Hello there! Visit https://example.com 😊</p>
151,"Remove punctuation, lowercase, and stopwords from THIS sentence."
152,<p>Hello there! Visit https://example.com 😊</p>
153,Mixed CASE text should be lowercased
154,Stemming and lemmatization are key for text normalization 🤖
155,Python is awesome!!! Check out www.python.org 😎 #coding
156,Email me at test@example.com or visit http://mywebsite.com
157,Python is awesome!!! Check out www.python.org 😎 #coding
158,Mixed CASE text should be lowercased
159,Stemming and lemmatization are key for text normalization 🤖
160,Mentions: @user1 @user2 are included in tweets
161,Special characters: @$%^&*() should be removed
162,Python is awesome!!! Check out www.python.org 😎 #coding
163,Emoji test: 😂🤣😍🔥✨💯
164,"Misspellings: recieve, definately, seperate should be fixed"
165,"Misspellings: recieve, definately, seperate should be fixed"
166,<p>Hello there! Visit https://example.com 😊</p>
167,Check out this link: https://github.com/user/repo
168,I am loving #MachineLearning and #DataScience 🌟
169,Numbers 12345 and 67890 are present in this text
170,Cleaning text is fun!!! Isn't it? 🤔
171,Stemming and lemmatization are key for text normalization 🤖
172,<p>Hello there! Visit https://example.com 😊</p>
173,Check out this link: https://github.com/user/repo
174,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
175,<p>Hello there! Visit https://example.com 😊</p>
176,Stemming and lemmatization are key for text normalization 🤖
177,Cleaning text is fun!!! Isn't it? 🤔
178,"Misspellings: recieve, definately, seperate should be fixed"
179,Cleaning text is fun!!! Isn't it? 🤔
180,I love NLP. It’s amazing… <a href='link'>Click here</a>
181,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
182,"Newlines
and	tabs should be handled properly."
183,I am loving #MachineLearning and #DataScience 🌟
184,Special characters: @$%^&*() should be removed
185,Email me at test@example.com or visit http://mywebsite.com
186,Python is awesome!!! Check out www.python.org 😎 #coding
187,I am loving #MachineLearning and #DataScience 🌟
188,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
189,Repeated letters: cooool loooove tweeeeet
190,Mentions: @user1 @user2 are included in tweets
191,Numbers 12345 and 67890 are present in this text
192,"Misspellings: recieve, definately, seperate should be fixed"
193,Email me at test@example.com or visit http://mywebsite.com
194,I am loving #MachineLearning and #DataScience 🌟
195,Mentions: @user1 @user2 are included in tweets
196,Email me at test@example.com or visit http://mywebsite.com
197,Emoji test: 😂🤣😍🔥✨💯
198,Repeated letters: cooool loooove tweeeeet
199,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
200,Mentions: @user1 @user2 are included in tweets
201,"Python, Java, and C++ are programming languages."
202,Numbers 12345 and 67890 are present in this text
203,I am loving #MachineLearning and #DataScience 🌟
204,"Remove punctuation, lowercase, and stopwords from THIS sentence."
205,Numbers 12345 and 67890 are present in this text
206,Cleaning text is fun!!! Isn't it? 🤔
207,Cleaning text is fun!!! Isn't it? 🤔
208,Cleaning text is fun!!! Isn't it? 🤔
209,Python is awesome!!! Check out www.python.org 😎 #coding
210,Stemming and lemmatization are key for text normalization 🤖
211,Repeated letters: cooool loooove tweeeeet
212,<p>Hello there! Visit https://example.com 😊</p>
213,"Remove punctuation, lowercase, and stopwords from THIS sentence."
214,Check out this link: https://github.com/user/repo
215,Mentions: @user1 @user2 are included in tweets
216,"Remove punctuation, lowercase, and stopwords from THIS sentence."
217,"Python, Java, and C++ are programming languages."
218,Email me at test@example.com or visit http://mywebsite.com
219,Cleaning text is fun!!! Isn't it? 🤔
220,"Misspellings: recieve, definately, seperate should be fixed"
221,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
222,I am loving #MachineLearning and #DataScience 🌟
223,"Remove punctuation, lowercase, and stopwords from THIS sentence."
224,Email me at test@example.com or visit http://mywebsite.com
225,Stemming and lemmatization are key for text normalization 🤖
226,Mixed CASE text should be lowercased
227,I love NLP. It’s amazing… <a href='link'>Click here</a>
228,"Misspellings: recieve, definately, seperate should be fixed"
229,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
230,Check out this link: https://github.com/user/repo
231,"Newlines
and	tabs should be handled properly."
232,"Misspellings: recieve, definately, seperate should be fixed"
233,Numbers 12345 and 67890 are present in this text
234,Mentions: @user1 @user2 are included in tweets
235,Mixed CASE text should be lowercased
236,Repeated letters: cooool loooove tweeeeet
237,I am loving #MachineLearning and #DataScience 🌟
238,Emoji test: 😂🤣😍🔥✨💯
239,Stemming and lemmatization are key for text normalization 🤖
240,Check out this link: https://github.com/user/repo
241,Check out this link: https://github.com/user/repo
242,Repeated letters: cooool loooove tweeeeet
243,Python is awesome!!! Check out www.python.org 😎 #coding
244,Numbers 12345 and 67890 are present in this text
245,Stemming and lemmatization are key for text normalization 🤖
246,Special characters: @$%^&*() should be removed
247,Stemming and lemmatization are key for text normalization 🤖
248,Numbers 12345 and 67890 are present in this text
249,Numbers 12345 and 67890 are present in this text
250,Mixed CASE text should be lowercased
251,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
252,Email me at test@example.com or visit http://mywebsite.com
253,Cleaning text is fun!!! Isn't it? 🤔
254,"Remove punctuation, lowercase, and stopwords from THIS sentence."
255,Cleaning text is fun!!! Isn't it? 🤔
256,<p>Hello there! Visit https://example.com 😊</p>
257,"Python, Java, and C++ are programming languages."
258,"Newlines
and	tabs should be handled properly."
259,"Misspellings: recieve, definately, seperate should be fixed"
260,I am loving #MachineLearning and #DataScience 🌟
261,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
262,"Misspellings: recieve, definately, seperate should be fixed"
263,Emoji test: 😂🤣😍🔥✨💯
264,Cleaning text is fun!!! Isn't it? 🤔
265,Cleaning text is fun!!! Isn't it? 🤔
266,I love NLP. It’s amazing… <a href='link'>Click here</a>
267,Mentions: @user1 @user2 are included in tweets
268,"Misspellings: recieve, definately, seperate should be fixed"
269,Check out this link: https://github.com/user/repo
270,Cleaning text is fun!!! Isn't it? 🤔
271,Mentions: @user1 @user2 are included in tweets
272,"Newlines
and	tabs should be handled properly."
273,"Remove punctuation, lowercase, and stopwords from THIS sentence."
274,Numbers 12345 and 67890 are present in this text
275,Mentions: @user1 @user2 are included in tweets
276,Mixed CASE text should be lowercased
277,Special characters: @$%^&*() should be removed
278,"Remove punctuation, lowercase, and stopwords from THIS sentence."
279,Mixed CASE text should be lowercased
280,Check out this link: https://github.com/user/repo
281,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
282,Emoji test: 😂🤣😍🔥✨💯
283,"Remove punctuation, lowercase, and stopwords from THIS sentence."
284,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
285,<p>Hello there! Visit https://example.com 😊</p>
286,Stemming and lemmatization are key for text normalization 🤖
287,Mentions: @user1 @user2 are included in tweets
288,Python is awesome!!! Check out www.python.org 😎 #coding
289,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
290,Numbers 12345 and 67890 are present in this text
291,"Python, Java, and C++ are programming languages."
292,Python is awesome!!! Check out www.python.org 😎 #coding
293,"Misspellings: recieve, definately, seperate should be fixed"
294,Email me at test@example.com or visit http://mywebsite.com
295,Numbers 12345 and 67890 are present in this text
296,Mentions: @user1 @user2 are included in tweets
297,<p>Hello there! Visit https://example.com 😊</p>
298,Stemming and lemmatization are key for text normalization 🤖
299,"Misspellings: recieve, definately, seperate should be fixed"
300,Mixed CASE text should be lowercased
301,Special characters: @$%^&*() should be removed
302,Check out this link: https://github.com/user/repo
303,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
304,Mentions: @user1 @user2 are included in tweets
305,Python is awesome!!! Check out www.python.org 😎 #coding
306,Repeated letters: cooool loooove tweeeeet
307,Email me at test@example.com or visit http://mywebsite.com
308,<p>Hello there! Visit https://example.com 😊</p>
309,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
310,Mentions: @user1 @user2 are included in tweets
311,Numbers 12345 and 67890 are present in this text
312,Cleaning text is fun!!! Isn't it? 🤔
313,Emoji test: 😂🤣😍🔥✨💯
314,"Python, Java, and C++ are programming languages."
315,I love NLP. It’s amazing… <a href='link'>Click here</a>
316,Cleaning text is fun!!! Isn't it? 🤔
317,Numbers 12345 and 67890 are present in this text
318,"Misspellings: recieve, definately, seperate should be fixed"
319,Special characters: @$%^&*() should be removed
320,Numbers 12345 and 67890 are present in this text
321,Mentions: @user1 @user2 are included in tweets
322,Email me at test@example.com or visit http://mywebsite.com
323,Special characters: @$%^&*() should be removed
324,Check out this link: https://github.com/user/repo
325,Email me at test@example.com or visit http://mywebsite.com
326,"Newlines
and	tabs should be handled properly."
327,Special characters: @$%^&*() should be removed
328,Special characters: @$%^&*() should be removed
329,Check out this link: https://github.com/user/repo
330,Mixed CASE text should be lowercased
331,I am loving #MachineLearning and #DataScience 🌟
332,"Python, Java, and C++ are programming languages."
333,Check out this link: https://github.com/user/repo
334,<p>Hello there! Visit https://example.com 😊</p>
335,Email me at test@example.com or visit http://mywebsite.com
336,I am loving #MachineLearning and #DataScience 🌟
337,"Python, Java, and C++ are programming languages."
338,I am loving #MachineLearning and #DataScience 🌟
339,"Misspellings: recieve, definately, seperate should be fixed"
340,"Remove punctuation, lowercase, and stopwords from THIS sentence."
341,Emoji test: 😂🤣😍🔥✨💯
342,"Newlines
and	tabs should be handled properly."
343,"Newlines
and	tabs should be handled properly."
344,"Python, Java, and C++ are programming languages."
345,"Remove punctuation, lowercase, and stopwords from THIS sentence."
346,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
347,Repeated letters: cooool loooove tweeeeet
348,Special characters: @$%^&*() should be removed
349,Repeated letters: cooool loooove tweeeeet
350,Data Science > AI & ML. Let's clean & preprocess text data! 🧹
351,Special characters: @$%^&*() should be removed
352,Repeated letters: cooool loooove tweeeeet
353,Python is awesome!!! Check out www.python.org 😎 #coding
354,Check out this link: https://github.com/user/repo
355,"Remove punctuation, lowercase, and stopwords from THIS sentence."
356,"Misspellings: recieve, definately, seperate should be fixed"
357,"Remove punctuation, lowercase, and stopwords from THIS sentence."
358,Numbers 12345 and 67890 are present in this text
359,Cleaning text is fun!!! Isn't it? 🤔
360,Mentions: @user1 @user2 are included in tweets
361,Repeated letters: cooool loooove tweeeeet
362,"Misspellings: recieve, definately, seperate should be fixed"
363,Numbers 12345 and 67890 are present in this text
364,Special characters: @$%^&*() should be removed
365,Mentions: @user1 @user2 are included in tweets
366,"Newlines
and	tabs should be handled properly."
367,<div>HTML tags everywhere! <b>Bold</b> and <i>Italic</i></div>
368,"Misspellings: recieve, definately, seperate should be fixed"
369,Mixed CASE text should be lowercased
370,"Remove punctuation, lowercase, and stopwords from THIS sentence."
371,"Misspellings: recieve, definately, seperate should be fixed"
372,Repeated letters: cooool loooove tweeeeet
373,Emoji test: 😂🤣😍🔥✨💯
374,"Python, Java, and C++ are programming languages."
375,I am loving #MachineLearning and #DataScience 🌟
376,Emoji test: 😂🤣😍🔥✨💯
377,<p>Hello there! Visit https://example.com 😊</p>
378,Check out this link: https://github.com/user/repo
379,Emoji test: 😂🤣😍🔥✨💯
